,zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months
176,11373,93967.0,6200,2472.0,20359.0,25317.0,54873.0
177,11374,42653.0,3000,2345.0,22481.0,38072.0,82615.0
178,11375,73488.0,5400,3444.0,44651.0,50363.0,103712.0
179,11377,86421.0,6000,2812.0,42254.0,30227.0,60870.0
180,11378,37279.0,3800,1047.0,26836.0,34100.0,84646.0
181,11379,37851.0,3700,730.0,29559.0,38713.0,99488.0
182,11385,106717.0,8100,3222.0,87155.0,34339.0,73624.0
183,11411,20759.0,2400,19475.0,699.0,37369.0,106230.0
184,11412,37458.0,3800,34470.0,661.0,33009.0,89179.0
185,11413,42443.0,3600,39730.0,987.0,35915.0,92219.0
186,11414,29219.0,1200,1289.0,22761.0,34630.0,86406.0
187,11415,19372.0,1600,1364.0,11415.0,41286.0,77634.0
188,11416,27125.0,2800,2252.0,7440.0,26470.0,70703.0
189,11417,31927.0,3000,3159.0,11426.0,29900.0,78627.0
190,11418,38517.0,3700,3674.0,15641.0,27398.0,66176.0
191,11419,49618.0,4700,9465.0,4991.0,26605.0,72995.0
192,11420,48489.0,4300,13606.0,7399.0,27552.0,72876.0
193,11421,41002.0,3800,2863.0,18122.0,28440.0,77034.0
194,11422,32082.0,2300,27832.0,1759.0,37054.0,95394.0
195,11423,31400.0,2600,13012.0,4070.0,30862.0,82727.0
196,11424,0.0,0,0.0,0.0,-666666666.0,-666666666.0
197,11425,0.0,0,0.0,0.0,-666666666.0,-666666666.0
198,11426,20801.0,1500,1573.0,8083.0,40693.0,101670.0
199,11427,24037.0,2200,5310.0,7047.0,32027.0,91302.0
200,11428,18929.0,1900,4770.0,4295.0,30895.0,80833.0
201,11429,27403.0,2300,21302.0,964.0,30332.0,91303.0
202,11430,198.0,30,146.0,25.0,9000.0,-666666666.0
203,11432,62053.0,5600,11039.0,11857.0,25935.0,59914.0
204,11433,36489.0,2700,24254.0,1432.0,24730.0,61392.0
205,11434,65791.0,4500,58341.0,1927.0,31243.0,77150.0
206,11435,59296.0,4300,14940.0,10038.0,28991.0,66703.0
207,11436,20077.0,2100,12945.0,1132.0,30675.0,77792.0
208,11451,0.0,0,0.0,0.0,-666666666.0,-666666666.0
209,11691,67094.0,3200,32786.0,26121.0,25151.0,58411.0
210,11692,20991.0,1300,12998.0,4745.0,24032.0,47530.0
211,11693,12919.0,850,2914.0,8174.0,32794.0,68529.0
212,11694,21354.0,1700,1522.0,17362.0,42139.0,110469.0
213,11697,3540.0,300,21.0,3378.0,44786.0,128833.0
