,MOD ZCTA,Population,Population_from_NYCHealth,Sample Count,Black or Black and other races,White,Median Income,Median Family Income,Median Age,Average Unit Size,NH/ACF Deaths,COVID Case Count,COVID Death Count,Total COVID Tests,Percent Positive,Death Rate,Case Rate,Borough,Neighborhood Name,Deaths less NH/ACF Deaths
41,10128,59256.0,61351.93,2800.0,2808.0,47167.0,71120.0,197813.0,39.5,1.9307288781727500,0.0,637,37,5547,0.1148368487470710,0.0006244093425138380,0.010749966248143600,Manhattan,Upper East Side/Yorkville,37.0
42,10280,9384.0,9618.7,450.0,330.0,7360.0,105321.0,212279.0,38.1,2.057894736842110,0.0,53,0,564,0.09397163120567380,0.0,0.005647911338448420,Manhattan,Battery Park City,0.0
43,10282,5593.0,5515.44,300.0,61.0,4153.0,147538.0,250001.0,35.3,2.5069475571492600,0.0,70,15,410,0.17073170731707300,0.0026819238333631300,0.012515644555694600,Manhattan,Battery Park City,15.0
44,10301,38733.0,39613.55,3200.0,11640.0,22280.0,30868.0,74412.0,38.2,2.673269376768580,69.0,1189,100,4906,0.24235629841011000,0.002581777812201480,0.03069733818707560,Staten Island,Silver Lake/St. George,31.0
45,10302,18204.0,18773.99,1300.0,4029.0,11286.0,32679.0,85781.0,34.9,2.9604813790860300,0.0,635,31,2117,0.2999527633443550,0.0017029224346297500,0.03488244341902880,Staten Island,Elm Park,31.0
46,10303,25947.0,26231.66,1800.0,9784.0,11406.0,30820.0,67360.0,33.1,3.1813388916135400,0.0,880,43,3169,0.27769012306721400,0.001657224341927780,0.03391528885805680,Staten Island,Graniteville/Mariner's Harbor/Port Ivory,43.0
47,10304,41064.0,42448.71,2400.0,11936.0,21403.0,28509.0,73592.0,38.1,2.897544453852670,98.0,1396,167,5372,0.25986597170513800,0.0040668225209429200,0.03399571400740310,Staten Island,New Dorp/Todt Hill,69.0
48,10305,42298.0,42560.99,3100.0,3239.0,31174.0,36477.0,89040.0,39.5,2.884675714383140,0.0,1242,75,4976,0.24959807073955000,0.0017731334814884900,0.029363090453449300,Staten Island,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,75.0
49,10306,53142.0,53685.66,3800.0,2597.0,45560.0,38658.0,93895.0,43.9,2.6561703403808700,30.0,1459,77,6458,0.22592133787550300,0.001448948101313460,0.027454743893718700,Staten Island,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,47.0
50,10307,15232.0,15214.56,1000.0,56.0,14284.0,44603.0,98897.0,39.7,2.866390666164850,0.0,379,14,1522,0.2490144546649150,0.0009191176470588240,0.024881827731092400,Staten Island,Tottenville,14.0
51,10308,30186.0,29635.33,1900.0,439.0,27810.0,44360.0,104497.0,42.9,2.8348985725018800,0.0,634,25,2802,0.22626695217701600,0.0008281985026171070,0.02100311402636980,Staten Island,Great Kills,25.0
52,10309,33531.0,33004.98,1800.0,313.0,30789.0,44599.0,114083.0,40.5,2.9248953244940700,0.0,844,30,3566,0.23667975322490200,0.0008946944618412810,0.025170737526468000,Staten Island,Charleston/Prince's Bay/Woodrow,30.0
53,10310,23262.0,23870.96,2100.0,5401.0,13731.0,37543.0,83775.0,38.8,2.7872034507548500,0.0,718,33,3028,0.23712021136063400,0.001418622646376060,0.030865789699939800,Staten Island,Port Richmond/Randall Manor/West Brighton,33.0
54,10312,90761.0,60304.33,6400.0,4427.0,66310.0,39054.0,101501.0,40.8,2.893979975766850,87.0,1504,59,6329,0.23763627745299400,0.0006500589460230720,0.016570994149469500,Staten Island,Annadale/Rossville,-28.0
55,10314,61741.0,90834.29,4400.0,1046.0,56226.0,42198.0,107874.0,41.6,2.887522214947150,0.0,2658,191,10799,0.24613390128715600,0.003093568293354500,0.04305080902479710,Staten Island,Bloomfield/Freshkills Park,191.0
56,10451,47798.0,47718.77,2500.0,20867.0,5972.0,19450.0,34974.0,34.1,2.4995032160225900,0.0,1615,154,5970,0.2705192629815750,0.003221892129377800,0.0337880246035399,Bronx,Concourse/Melrose,154.0
57,10452,76078.0,77035.04,3800.0,27616.0,9592.0,17669.0,31631.0,31.600000000000000,2.911965092245270,0.0,2422,158,8936,0.2710384959713520,0.002076815899471600,0.031835747522279800,Bronx,Concourse/Highbridge,158.0
58,10453,79606.0,81184.04,4800.0,27063.0,6841.0,16571.0,29433.0,30.4,2.9196068363529700,0.0,2385,158,8436,0.2827169274537700,0.0019847750169585200,0.02996005326231690,Bronx,Morris Heights/Mount Hope/University Heights,158.0
59,10454,38203.0,38223.41,2300.0,12941.0,5040.0,15778.0,27006.0,29.6,2.9014202172096900,0.0,1145,102,4583,0.2498363517346720,0.0026699473863309200,0.029971468209302900,Bronx,Mott Haven/Port Morris,102.0
60,10455,42283.0,42174.38,2600.0,13540.0,5221.0,17440.0,31884.0,30.6,2.9361155475314200,0.0,1273,100,4613,0.27595924561023200,0.0023650166733675500,0.030106662251968900,Bronx,Mott Haven,100.0
61,10456,94218.0,93441.91,4900.0,42254.0,10146.0,16558.0,32881.0,30.9,3.0616104503801900,46.0,2510,272,9858,0.2546155406776220,0.002886921819609840,0.026640344732429000,Bronx,Claremont/Morrisania,226.0
62,10457,74554.0,74685.06,4900.0,31654.0,11452.0,16871.0,33299.0,29.800000000000000,3.0264674839652500,20.0,2116,177,8141,0.25991892887851600,0.002374118088902000,0.028382112294444300,Bronx,Belmont/Claremont/Mount Hope/Tremont,157.0
63,10458,83960.0,83807.74,4700.0,18960.0,14887.0,17907.0,36850.0,29.0,3.077486987757500,0.0,2066,114,7875,0.26234920634920600,0.0013577894235350200,0.024606955693187200,Bronx,Belmont/Fordham University/Kingsbridge,114.0
64,10459,48351.0,48354.56,3400.0,17790.0,5615.0,18458.0,34086.0,31.3,2.951471126846540,22.0,1495,156,5253,0.28459927660384500,0.003226406899547060,0.030919732787326000,Bronx,Charlotte Gardens/Hunts Point,134.0
65,10460,59505.0,60073.25,3500.0,19091.0,9370.0,16160.0,30654.0,31.6,2.9107763048476200,0.0,1655,116,6022,0.2748256393224840,0.0019494160154608900,0.027812788841273800,Bronx,Charlotte Gardens/Tremont/Van Nest/West Farms,116.0
66,10461,50348.0,49479.56,3700.0,5908.0,24270.0,31097.0,65385.0,37.8,2.6601151793733800,21.0,1893,139,7234,0.261680951064418,0.0027607849368396000,0.037598315722570900,Bronx,Morris Park/Pelham Bay/Westchester Square,118.0
67,10462,76756.0,77332.41,5300.0,23923.0,17796.0,28300.0,57511.0,36.3,2.598111227701990,23.0,2281,166,9021,0.2528544507260840,0.002162697378706550,0.02971754651102190,Bronx,Parkchester/Pelham Parkway/Van Nest/Westchester Square,143.0
68,10463,71360.0,71287.33,4500.0,13003.0,32109.0,30734.0,67780.0,39.8,2.4879715501011100,178.0,2037,196,9118,0.22340425531914900,0.0027466367713004500,0.028545403587443900,Bronx,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,18.0
69,10464,4434.0,4353.16,250.0,119.0,3495.0,55443.0,131667.0,44.9,2.342313787638670,0.0,119,7,592,0.20101351351351400,0.0015787099684258000,0.02683806946323860,Bronx,City Island,7.0
70,10465,44205.0,43030.43,3400.0,6201.0,26656.0,36085.0,93767.0,41.5,2.7638489433537600,56.0,1491,78,6087,0.2449482503696400,0.0017645062775704100,0.033729216152019,Bronx,Country Club/Throgs Neck,22.0
71,10466,72479.0,72166.65,4200.0,54368.0,8034.0,26846.0,61668.0,36.6,3.0576695916301000,22.0,2411,160,8267,0.29164146606991700,0.002207535975937860,0.033264807737413600,Bronx,Edenwald/Wakefield,138.0
72,10467,103732.0,100784.05,5600.0,38921.0,23469.0,21666.0,41726.0,33.7,2.8240226505499300,73.0,3425,298,11943,0.2867788662815040,0.0028727875679636000,0.03301777657810510,Bronx,Allerton/Norwood/Pelham Parkway/Williamsbridge,225.0
73,10468,78647.0,76681.12,4200.0,18087.0,9933.0,19907.0,40582.0,32.2,2.9860657604981400,73.0,2767,203,10521,0.2629978138960180,0.0025811537630170300,0.03518252444467050,Bronx,Fordham/Kingsbridge/University Heights,130.0
74,10469,73870.0,71508.25,5100.0,41477.0,13892.0,29338.0,73976.0,40.2,3.2904231625835200,144.0,3027,327,10626,0.28486730660643700,0.004426695546229860,0.04097739271693520,Bronx,Allerton/Baychester/Pelham Gardens/Williamsbridge,183.0
75,10470,15432.0,14103.75,1400.0,6227.0,6572.0,31247.0,67576.0,40.5,2.5398288347597100,0.0,454,15,1919,0.2365815528921310,0.0009720062208398130,0.029419388284085000,Bronx,Wakefield/Woodlawn,15.0
76,10471,21896.0,21247.28,2000.0,2919.0,15033.0,41965.0,110615.0,44.9,2.546638753198420,46.0,800,72,3981,0.2009545340366740,0.003288271830471320,0.03653635367190360,Bronx,Fieldston/North Riverdale/Riverdale,26.0
77,10472,68796.0,67913.94,4100.0,20150.0,10270.0,17990.0,35936.0,32.1,3.143235710695850,18.0,1984,176,6607,0.3002875737853790,0.002558288272573990,0.028838885981743100,Bronx,Soundview,158.0
78,10473,59609.0,61925.28,3200.0,25936.0,22362.0,24379.0,50481.0,36.1,2.8473369954621400,3.0,1942,125,7445,0.26084620550705200,0.0020969987753527200,0.03257897297387980,Bronx,Castle Hill/Clason Point/Soundview,122.0
79,10474,12127.0,12438.07,800.0,5151.0,1118.0,15928.0,30016.0,30.200000000000000,3.4767775229357800,0.0,325,19,1165,0.27896995708154500,0.0015667518759792200,0.026799703141749800,Bronx,Hunts Point,19.0
80,10475,43208.0,43743.21,1100.0,28010.0,7682.0,31610.0,63540.0,45.0,2.303321072551840,9.0,1713,166,6263,0.2735110969184100,0.003841881133123500,0.039645436030364700,Bronx,Co-op City/Edenwald,157.0
81,11004,55270.0,18758.55,5400.0,22959.0,20000.0,38133.4490863036,110262.34143296500,41.01679030215310,3.3875967376615400,0.0,596,59,2970,0.20067340067340100,0.001067486882576440,0.010783426813823100,Queens,Bellerose/Douglaston-Little Neck,59.0
82,11101,66022.0,35204.11,5200.0,42181.0,10277.0,36057.495971040000,103809.9219956980,40.429340219926700,3.572929870995390,0.0,637,38,3810,0.16719160104986900,0.0005755657205174030,0.009648299051831210,Queens,Astoria (South)/Long Island City/Sunnyside,38.0
83,11102,58860.0,32632.92,4600.0,2037.0,28773.0,45611.547349643200,127829.81549439300,45.07553007135580,3.1162753693215600,92.0,623,76,3411,0.18264438581061300,0.001291199456337070,0.010584437648657800,Queens,Astoria (North),-16.0
84,11103,30043.0,36585.65,2200.0,5395.0,12915.0,40222.0,68840.0,34.1,2.2813425468904200,0.0,580,48,3425,0.16934306569343100,0.0015977099490730000,0.01930566188463200,Queens,Astoria (North)/Astoria (South),48.0
85,11104,30800.0,24775.7,2700.0,3375.0,18207.0,37369.0,60821.0,33.7,2.356181150550800,27.0,496,37,2462,0.20146222583265600,0.0012012987012987000,0.016103896103896100,Queens,Sunnyside,10.0
86,11105,36140.0,35894.88,3600.0,1318.0,25632.0,40490.0,76070.0,33.8,2.307053941908710,0.0,493,42,3298,0.14948453608247400,0.001162147205312670,0.013641394576646400,Queens,Ditmars Steinway,42.0
87,11106,26119.0,38664.4,1900.0,670.0,17459.0,38229.0,69636.0,37.8,2.2479559342456300,0.0,649,45,3515,0.18463726884779500,0.0017228837244917500,0.024847811937669900,Queens,Astoria (South),45.0
88,11109,37382.0,5070.64,3400.0,1308.0,27867.0,40863.0,84246.0,35.4,2.4332487144437900,0.0,48,2,500,0.096,5.3501685303087E-05,0.001284040447274090,Queens,Long Island City,2.0
89,11201,38363.0,60908.15,3000.0,3431.0,20734.0,37084.0,67298.0,35.5,2.2577095103578200,0.0,710,87,6557,0.1082812261705050,0.002267810129551910,0.018507415999791500,Brooklyn,Brooklyn Heights/DUMBO/Downtown Brooklyn,87.0
90,11203,5981.0,73392.42,250.0,287.0,4013.0,98396.0,194135.0,32.7,2.0247122545700700,0.0,2093,243,7996,0.2617558779389700,0.04062865741514800,0.3499414813576330,Brooklyn,East Flatbush (North)/East Flatbush (South),243.0
91,11204,62823.0,79322.45,5300.0,10030.0,40248.0,72793.0,168979.0,35.2,2.2383225852424600,117.0,2039,139,9105,0.22394288852279000,0.0022125654616939700,0.03245626601722300,Brooklyn,Bensonhurst/Mapleton,22.0
92,11205,75451.0,44013.21,6800.0,67977.0,3330.0,30301.0,63919.0,39.8,2.717877598069230,71.0,736,46,3938,0.18689690198070100,0.0006096672012299370,0.009754675219679000,Brooklyn,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,-25.0
