zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile)
10452,76078.0,3800.0,27616.0,9592.0,17669.0,31631.0,25249.0,31.6,26126.0,2.911965092245270,76209.30233000000
10453,79606.0,4800.0,27063.0,6841.0,16571.0,29433.0,25826.0,30.4,27266.0,2.9196068363529700,85490.17467000000
10454,38203.0,2300.0,12941.0,5040.0,15778.0,27006.0,12109.0,29.6,13167.0,2.901420217209690,35660.936010000000
10455,42283.0,2600.0,13540.0,5221.0,17440.0,31884.0,12809.0,30.6,14401.0,2.9361155475314200,55709.269660000000
10456,94218.0,4900.0,42254.0,10146.0,16558.0,32881.0,40069.0,30.9,30774.0,3.061610450380190,85016.69941
10457,74554.0,4900.0,31654.0,11452.0,16871.0,33299.0,29962.0,29.8,24634.0,3.0264674839652500,66442.97832000000
10458,83960.0,4700.0,18960.0,14887.0,17907.0,36850.0,16690.0,29.0,27282.0,3.0774869877575000,78782.95342
10459,48351.0,3400.0,17790.0,5615.0,18458.0,34086.0,16650.0,31.3,16382.0,2.951471126846540,57692.682930000000
10460,59505.0,3500.0,19091.0,9370.0,16160.0,30654.0,18035.0,31.6,20443.0,2.910776304847630,43582.50951
10461,50348.0,3700.0,5908.0,24270.0,31097.0,65385.0,4714.0,37.8,18927.0,2.660115179373380,21068.83605
10462,76756.0,5300.0,23923.0,17796.0,28300.0,57511.0,21705.0,36.3,29543.0,2.5981112277019900,51448.744060000000
10463,71360.0,4500.0,13003.0,32109.0,30734.0,67780.0,10764.0,39.8,28682.0,2.4879715501011100,46908.21256
10464,4434.0,250.0,119.0,3495.0,55443.0,131667.0,119.0,44.9,1893.0,2.342313787638670,1295.058555
10465,44205.0,3400.0,6201.0,26656.0,36085.0,93767.0,5638.0,41.5,15994.0,2.7638489433537600,12333.528040000000
10466,72479.0,4200.0,54368.0,8034.0,26846.0,61668.0,52974.0,36.6,23704.0,3.0576695916301000,33654.09429
10467,103732.0,5600.0,38921.0,23469.0,21666.0,41726.0,36599.0,33.7,36732.0,2.8240226505499300,41478.63248
10468,78647.0,4200.0,18087.0,9933.0,19907.0,40582.0,16529.0,32.2,26338.0,2.9860657604981400,71124.29907000000
10469,73870.0,5100.0,41477.0,13892.0,29338.0,73976.0,40103.0,40.2,22450.0,3.2904231625835200,26954.28803
10470,15432.0,1400.0,6227.0,6572.0,31247.0,67576.0,6027.0,40.5,6076.0,2.53982883475971,10716.888580000000
10471,21896.0,2000.0,2919.0,15033.0,41965.0,110615.0,2583.0,44.9,8598.0,2.546638753198420,8919.066148
10472,68796.0,4100.0,20150.0,10270.0,17990.0,35936.0,18821.0,32.1,21887.0,3.143235710695850,63077.94677
10473,59609.0,3200.0,25936.0,22362.0,24379.0,50481.0,24533.0,36.1,20935.0,2.8473369954621400,26855.8972
10474,12127.0,800.0,5151.0,1118.0,15928.0,30016.0,4782.0,30.2,3488.0,3.47677752293578,7974.675325
10475,43208.0,1100.0,28010.0,7682.0,31610.0,63540.0,26281.0,45.0,18759.0,2.303321072551840,23645.869440000000
11001,27867.0,3100.0,1657.0,19036.0,45805.0,128906.0,1511.0,43.0,9144.0,3.04757217847769,12076.81941
11003,45263.0,2800.0,22706.0,9578.0,35456.0,102700.0,21333.0,38.7,12256.0,3.693129895561360,9982.138547
11004,15234.0,1000.0,1198.0,6402.0,40751.0,106834.0,1005.0,44.4,5178.0,2.9420625724217800,14738.17035
11005,1749.0,100.0,0.0,1726.0,40840.0,103208.0,0.0,81.5,1271.0,1.3760818253343800,9815.217391
11040,41877.0,3500.0,839.0,20645.0,47579.0,136496.0,687.0,43.8,12876.0,3.2523299161230200,8526.447836
11101,30043.0,2200.0,5395.0,12915.0,40222.0,68840.0,4713.0,34.1,13169.0,2.2813425468904200,9752.774589
11102,30800.0,2700.0,3375.0,18207.0,37369.0,60821.0,2964.0,33.7,13072.0,2.3561811505508000,42243.81188
11103,36140.0,3600.0,1318.0,25632.0,40490.0,76070.0,961.0,33.8,15665.0,2.3070539419087100,54542.89733000000
11104,26119.0,1900.0,670.0,17459.0,38229.0,69636.0,490.0,37.8,11619.0,2.247955934245630,70005.14139
11105,37382.0,3400.0,1308.0,27867.0,40863.0,84246.0,960.0,35.4,15363.0,2.4332487144437900,22480.39216
11106,38363.0,3000.0,3431.0,20734.0,37084.0,67298.0,2727.0,35.5,16992.0,2.2577095103578200,45361.72695
11109,5981.0,250.0,287.0,4013.0,98396.0,194135.0,272.0,32.7,2954.0,2.0247122545700700,88075.0
11201,62823.0,5300.0,10030.0,40248.0,72793.0,168979.0,8537.0,35.2,28067.0,2.2383225852424600,35904.494380000000
11203,75451.0,6800.0,67977.0,3330.0,30301.0,63919.0,67171.0,39.8,27761.0,2.717877598069230,35495.80615
11204,76978.0,7300.0,1118.0,44686.0,22545.0,56168.0,893.0,34.7,23601.0,3.261641455870510,49171.806170000000
11205,46064.0,3500.0,15686.0,22570.0,29349.0,59314.0,14651.0,29.8,16294.0,2.8270529029090500,42535.30032
11206,88349.0,5700.0,25356.0,41715.0,21869.0,34951.0,23405.0,29.3,31042.0,2.8461117196057000,56957.46165
11207,91972.0,6600.0,60644.0,13372.0,22579.0,47032.0,59171.0,34.1,33240.0,2.76690734055355,34962.93523
11208,98660.0,6500.0,54888.0,25549.0,27087.0,48487.0,53666.0,32.5,32181.0,3.0657841583543100,27445.96165
11209,67809.0,6200.0,2916.0,50050.0,41450.0,97345.0,2078.0,40.6,29297.0,2.314537324640750,31846.901020000000
11210,67040.0,5800.0,40155.0,20877.0,34187.0,75151.0,39272.0,35.6,22267.0,3.0107333722549100,37786.71542
11211,102624.0,6800.0,8084.0,76620.0,40122.0,60044.0,6611.0,30.7,39384.0,2.6057282145033500,39215.4047
11212,76527.0,4700.0,63695.0,5487.0,17869.0,40188.0,62425.0,37.6,31454.0,2.432981496788960,54941.48244
11213,66295.0,4500.0,46001.0,14869.0,25107.0,47055.0,44813.0,33.4,25027.0,2.6489391457226200,58448.21265
11214,92946.0,7900.0,1660.0,45769.0,24651.0,61799.0,1364.0,39.6,31933.0,2.9106566874393300,40562.92906
11215,70156.0,5700.0,4752.0,53421.0,63578.0,156558.0,3233.0,36.0,28635.0,2.450008730574470,29149.6786
11216,56308.0,3900.0,33463.0,16316.0,36338.0,69266.0,32083.0,34.2,24079.0,2.338469205531790,58091.978610000000
11217,41407.0,3400.0,8922.0,24009.0,57988.0,127886.0,8163.0,35.0,17447.0,2.3733020003439000,47777.62983
11218,74508.0,5900.0,7142.0,44496.0,32216.0,74529.0,6015.0,34.2,24866.0,2.9963806000160900,52711.98318
11219,90036.0,7100.0,1246.0,60521.0,19006.0,40354.0,931.0,27.8,24430.0,3.685468686041750,62227.395410000000
11220,95643.0,7000.0,3363.0,29005.0,20395.0,44401.0,2458.0,34.3,28083.0,3.4057258839867500,55610.27359
11221,83835.0,5400.0,42967.0,23203.0,27589.0,54886.0,41079.0,31.6,30871.0,2.7156554695345100,57046.27621
11222,36492.0,3100.0,1983.0,29893.0,52004.0,93082.0,1590.0,34.8,17256.0,2.1147426981919300,24234.90814
