,ZCTA,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile),Confirmed NH/ACF Deaths,Presumed NH/ACF Deaths,NH/ACF Deaths
37,10040,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,10040.0,44571.0,2200.0,6355.0,16091.0,22343.0,52870.0,4359.0,37.4,16181.0,2.7545269142821827,110567.2823,37,48,85
38,10044,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,10044.0,11682.0,650.0,1541.0,5320.0,54798.0,125625.0,1420.0,42.2,4748.0,2.4604043807919123,50921.39738,13,1,14
39,10065,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,10065.0,28109.0,1500.0,662.0,24285.0,81125.0,228333.0,619.0,39.8,14844.0,1.8936270547022367,84476.43979,0,0,0
40,10069,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,10069.0,5085.0,200.0,197.0,3155.0,95592.0,179803.0,148.0,36.0,2552.0,1.9925548589341693,55308.51064,0,0,0
41,10075,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,10075.0,21556.0,600.0,743.0,18396.0,73626.0,176707.0,677.0,45.0,11035.0,1.9534209333937471,141961.9565,8,3,11
42,10103,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,10103.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,300.0,0,0,0
43,10110,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,10110.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
44,10111,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,10111.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
45,10112,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,10112.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
46,10115,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,10115.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
47,10119,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,10119.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,5750.0,0,0,0
48,10128,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,10128.0,59256.0,2800.0,2808.0,47167.0,71120.0,197813.0,2182.0,39.5,30691.0,1.9307288781727543,130006.4516,0,0,0
49,10152,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,10152.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
50,10153,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10153.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
51,10154,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,10154.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
52,10162,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,10162.0,1584.0,40.0,0.0,1457.0,112011.0,250001.0,0.0,38.7,741.0,2.1376518218623484,140416.6667,0,0,0
53,10165,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,10165.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,400.0,0,0,0
54,10167,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,10167.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
55,10168,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,10168.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
56,10169,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,10169.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
57,10170,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,10170.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,200.0,0,0,0
58,10171,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,10171.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
59,10172,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,10172.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
